# BEAST v1.10.2
# Generated Sun Dec 02 19:56:22 SAST 2018 [seed=1543773381244]
# -beagle outbreak_25_expo_norm1_prior_clock_cp123.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	CP1.nu	CP2.nu	CP3.nu	CP1.mu	CP2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-9996.906533957786	-44.69677521292434	-9952.209758744862	4.092105302728238	2014.8229631904226	12.24339897446254	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.9996735226901731	0.9996735226901731	1.0006535947712418	1.0	1.0	-9952.209758744862	0.0	-30.22467493208576
1000	-5076.886589755018	-8.175976962019247	-5068.710612792998	0.5336847908313781	2018.3813837023195	2.8142840629835626	0.3691803556914834	0.5026248762872703	8.409763707666047	0.26913025526399764	0.24651651235513009	0.2535093086495438	0.23084392373132862	0.20880630009640827	0.2847196024090612	0.350953993515236	0.3643264040757028	0.8538799437576351	1.0525182449986803	1.093693577725296	0.01906072211779491	0.019060722117794908	-5068.710612792998	0.0	-6.901865991286924
2000	-4886.520343721998	-14.27561315258463	-4872.244730569413	0.5697854230390118	2018.3452830701117	3.7643391887710114	2.722040702814073	6.3721254188076655	8.961983083423402	0.2975631113259494	0.24197454375925564	0.23239394784470235	0.22806839707009283	0.18615870706630624	0.2249982902745238	0.29943563066577394	0.4755660790597022	0.674774500313998	0.8980136151798236	1.4276307196870668	0.006565397691600794	0.006565397691600795	-4872.244730569413	0.0	-11.443595284991812
3000	-4847.268771337197	-14.40678823462364	-4832.8619831025735	0.4609908368956066	2018.454077656255	3.2737857674473405	4.3868542292161505	8.507958705248976	10.777023509078893	0.30391828671946847	0.23142899602975306	0.24308217940454374	0.22157053784623496	0.1468994223756803	0.15390032557528094	0.32681402872780796	0.5192856456969115	0.4615502418330169	0.9801219940886856	1.5588751442391597	0.0073379643673827655	0.007337964367382764	-4832.8619831025735	0.0	-10.556286139884614
4000	-4837.4645468651825	-25.213894670834467	-4812.250652194348	0.47173376193849326	2018.4433347312122	4.277044656143163	7.919336337098895	10.37107738743474	7.437360112587966	0.3026833953345766	0.21514163502514203	0.2561314427677717	0.22604352687250992	0.18950675360045263	0.1484538963446794	0.32005290790978275	0.5314931957455384	0.4452162885479024	0.9598452536922183	1.595521730757685	0.004306533994373975	0.004306533994373974	-4812.250652194348	0.0	-21.571183773313827
5000	-4827.276837924662	-19.150200599776078	-4808.126637324885	0.45911350177775045	2018.4559549913731	3.997898635119058	3.617286444107243	6.54171458309672	9.699830340346427	0.30715268382799144	0.21393955434655876	0.25799301888988124	0.22091474293556881	0.06263630326019136	0.11377200654163322	0.2945583461157397	0.5916696473426275	0.3412045876890117	0.8833865384979384	1.7761690785912994	0.005932130474158456	0.005932130474158459	-4808.126637324885	0.0	-16.210219672197137
6000	-4838.7402358109475	-24.869314900297116	-4813.87092091065	0.4430585964195636	2018.4720098967312	4.374143616789642	7.753159523436529	11.294887018095519	14.59847987821822	0.3314230550975965	0.2132791030833011	0.2563017453525222	0.1989960964665804	0.09677741200341036	0.10066775209456764	0.29818079003178655	0.6011514578736462	0.3019046590730325	0.8942503223088447	1.8046331019697104	0.006474239252525195	0.006474239252525193	-4813.87092091065	0.0	-19.876296589472545
7000	-4815.189625741032	-16.764891332239827	-4798.424734408792	0.39333451692356347	2018.5217339762273	3.5701334596232925	4.217219316464823	9.780181117371086	8.21964609657366	0.3084112616201989	0.21742741859951636	0.26040598544691473	0.21375533433337027	0.37512599995110746	0.055652689353299395	0.26619717212968635	0.6781501385170143	0.1669035600389841	0.7983307943791378	2.035780121704998	0.0063312819929473305	0.006331281992947331	-4798.424734408792	0.0	-12.985775146737094
8000	-4811.3269356611745	-13.476887330587992	-4797.850048330586	0.3595149013381608	2018.5555535918127	3.15923213830355	4.461880914717493	10.816676078174813	9.7068471303972	0.3167269845268177	0.20857219324462842	0.25413897814344716	0.22056184408510685	0.4369559586503966	0.07215092227073568	0.307226747399497	0.6206223303297674	0.21638209989519358	0.9213793345124974	1.8630838975193607	0.007127623847324729	0.00712762384732473	-4797.850048330586	0.0	-8.99775758425093
9000	-4813.900451202741	-12.025888335999634	-4801.874562866742	0.37006702295547805	2018.5450014701953	3.0146566667792785	2.1985858134569773	8.110332742258633	7.765454652775685	0.31142605191912837	0.2252567837873456	0.23756601666309735	0.22575114763042883	0.9258129869359359	0.09575209956179151	0.29285177100241955	0.6113961294357891	0.2871625160217489	0.8782684846321339	1.8353872042474375	0.0069879872948070965	0.006987987294807096	-4801.874562866742	0.0	-7.909828293149778
10000	-4813.41762249228	-13.67057131132946	-4799.747051180951	0.3919916425416609	2018.5230768506092	3.161540696243226	1.9575666508297709	7.986212365712712	6.072138254225264	0.30827829717369953	0.22450678616175973	0.2463444707067736	0.2208704459577674	0.8811341330903392	0.11397559928668541	0.22592358713704766	0.660100813576267	0.3418151665189331	0.6775494846362782	1.9815967560495389	0.007147957729239505	0.007147957729239501	-4799.747051180951	0.0	-10.17276640921179
11000	-4810.880339861749	-11.919643042999635	-4798.96069681875	0.3564339313749433	2018.5586345617758	2.754586255435243	6.288150338114172	14.335665780092794	19.94040026325719	0.3024612399338467	0.22365066077645415	0.2583535945910679	0.21553450469863153	0.44334562557580404	0.06275580868289983	0.2598807871133795	0.6773634042037209	0.18820596100591508	0.779387825799381	2.033418376148817	0.007635511019555584	0.007635511019555582	-4798.96069681875	0.0	-5.0684031961560425
12000	-4815.643588478793	-14.249865803224132	-4801.393722675569	0.3304018641746457	2018.584666628976	3.017205165070587	8.71624231885464	13.29791875930117	7.194961692551389	0.3169701407607069	0.22448738515775538	0.24782844448088026	0.21071402960065774	0.8788159974874666	0.0656544974428765	0.28153813394911364	0.6528073686080099	0.19689918821751995	0.8443386544095848	1.9597021202722809	0.005488385520403069	0.005488385520403069	-4801.393722675569	0.0	-8.54655040799666
13000	-4814.669766630568	-15.3276516667018	-4799.342114963866	0.31355057377277695	2018.601517919378	2.9821080979943972	4.377313610682172	10.841271890970553	7.484463924837202	0.3105876692563899	0.2154304790342707	0.2404047865306896	0.23357706517865	1.6338020981563743	0.031195543818306033	0.290841020028541	0.6779634361531531	0.09355607754324494	0.8722382011042044	2.0352196485303478	0.007679762417293416	0.007679762417293419	-4799.342114963866	0.0	-8.854933367506742
14000	-4800.775891773811	-4.050946936403189	-4796.724944837408	0.29071800488801863	2018.6243504882627	2.2894205458761987	1.8822604499065594	10.071036588962244	14.852380716771423	0.3072130098724035	0.21410158095434706	0.2502159514211182	0.2284694577521315	0.4795631282833996	0.04441684728265774	0.2364208318627076	0.7191623208546347	0.13320703856953772	0.7090309374766021	2.158897084761658	0.00793537741281212	0.007935377412812115	-4796.724944837408	0.0	0.6124638331262258
15000	-4798.2682941281	-3.008434836396365	-4795.259859291704	0.2906012877742121	2018.6244672053765	2.2960356109385662	2.4061390182446347	10.447086172289207	6.177291809263673	0.30128620267186407	0.22172193288941944	0.2610999956220033	0.2158918688167135	0.4223328623498919	0.0197013314879858	0.2032039928301405	0.7770946756818737	0.05908469835084478	0.6094129540116457	2.332807742095978	0.010157997403562099	0.010157997403562097	-4795.259859291704	0.0	0.36737330915297917
16000	-4803.094903547898	-2.10020371235868	-4800.994699835539	0.28253590707061926	2018.63253258608	2.26341287053776	1.1424602740371355	7.442940483755724	10.487179802386374	0.3139937932633893	0.21863270345481045	0.2567604771300181	0.21061302615178243	0.2709199535618515	0.08404345508812645	0.17400980662121882	0.7419467382906549	0.2520480504210022	0.5218589891030089	2.227295012398025	0.010229255784275065	0.010229255784275061	-4800.994699835539	0.0	0.866674518549907
17000	-4812.4079678865655	-6.777267488712232	-4805.630700397854	0.3309642823159725	2018.5841042108348	2.6268172316335368	1.9400610681031993	8.781746116252773	18.548133880190406	0.31103846511180705	0.23074760339443873	0.258235339263906	0.19997859222984854	0.3131254740497731	0.029429013826815165	0.18211304689422603	0.7884579392789591	0.08825821776465038	0.5461607733497749	2.366919813796248	0.007066453892974262	0.007066453892974264	-4805.630700397854	0.0	-2.1848364927966366
18000	-4809.578654717914	-5.191094490519152	-4804.387560227395	0.31098388055006854	2018.6040846126007	2.4809142648786158	2.181474471149629	8.41669877017379	8.503898706171977	0.3352638706368126	0.22088303011245553	0.2340239682602908	0.2098291309904414	0.11785915680916616	0.048062820751823186	0.21315334627574223	0.7387838329724351	0.1441413879942043	0.6392512696340086	2.2178000946682315	0.009879010096446324	0.009879010096446324	-4804.387560227395	0.0	-2.2449506702773956
19000	-4811.953090328677	-6.185071945726172	-4805.768018382951	0.35200591178028245	2018.5630625813706	2.766865726441851	1.6627289986808524	8.217226145033289	7.912005554685893	0.313576599275521	0.22932575092241844	0.23871436801385068	0.21838328178821015	0.12008172976438418	0.04052652337646292	0.24466799708286155	0.7148054795406761	0.121539877158403	0.7337643556001197	2.1458180179936766	0.007571249379922211	0.007571249379922214	-4805.768018382951	0.0	-3.8368833079876197
20000	-4810.8342050403735	-9.297509501787545	-4801.536695538586	0.3682884343592127	2018.5467800587917	2.8983146884381563	1.0126506137976776	3.675113908473786	10.350098314963303	0.31200868303663426	0.21849126222155102	0.23981138485967152	0.22968866988214354	0.21133272251615282	0.04843488614261903	0.2188311108685022	0.7327340029888795	0.14525721975386824	0.6562790024283582	2.199638742305832	0.00603328032242408	0.006033280322424081	-4801.536695538586	0.0	-7.197619543059405
21000	-4812.244213445056	-9.690600909314535	-4802.553612535741	0.3041211338736254	2018.6109473592771	2.6833273792332326	1.2138143281573872	4.282167024961758	12.53998087580626	0.3047384267340455	0.217515095379279	0.25179193432045427	0.22595454356622152	0.17400727436616412	0.06893100105810476	0.19794391259375685	0.7331250863481391	0.20672548995094692	0.5936378651930299	2.2008127592137274	0.007148311338935852	0.007148311338935852	-4802.553612535741	0.0	-6.967049307834623
22000	-4806.747018766463	-7.238537256264397	-4799.508481510199	0.30857466728480276	2018.606493825866	2.539560678582624	1.4119495010576195	5.843467581541234	13.074091748628847	0.30827793851172086	0.21441450762393394	0.2607912132569373	0.21651634060740824	0.190396019787909	0.04245644268309728	0.20363253508973886	0.7539110222271648	0.12732774485371584	0.6106981610624685	2.263211323587822	0.009263725515229337	0.009263725515229332	-4799.508481510199	0.0	-4.007384455734586
23000	-4802.137433227077	-7.740791236505376	-4794.396641990572	0.3768445652769182	2018.5382239278738	2.8200312779110224	2.118465817967721	8.071606308406642	10.524493169234434	0.30907076813394707	0.21913023780603824	0.2567459531469459	0.21505304091306923	0.3365150428791819	0.05346049661088704	0.20780758722515655	0.7387319161639572	0.1603291289153145	0.6232192282893529	2.217644242445134	0.008262098272308963	0.008262098272308963	-4794.396641990572	0.0	-4.186400060331875
24000	-4805.458907855496	-11.809337150326504	-4793.64957070517	0.3967225033437264	2018.5183459898071	3.088729261421718	3.786207846924719	11.889242920606627	8.745551858154856	0.3087063487747573	0.22474565893083895	0.2595446158901261	0.20700337640427813	0.5727651085184339	0.050395175705381934	0.19206681008038884	0.7575380142142303	0.15113616847196817	0.5760123138747802	2.274099411298013	0.006919312138521797	0.006919312138521796	-4793.64957070517	0.0	-7.291477588093237
25000	-4804.845420696545	-10.237619672431777	-4794.6078010241135	0.358218888540699	2018.55684960461	2.7242634062663775	5.06797737411986	12.410172795982824	10.78621012899506	0.3159311722273499	0.22275585059492983	0.24871919272562729	0.21259378445209345	1.2951921437359257	0.05545022786019377	0.23293312735944408	0.7116166447803635	0.16629637385691806	0.6985712399359626	2.136245261095562	0.007666458700299559	0.007666458700299561	-4794.6078010241135	0.0	-3.425830488929832
26000	-4808.615792068314	-8.114147923656915	-4800.501644144657	0.3632119918312265	2018.5518565013197	2.6524614437358	4.380722465299154	13.377656580345846	13.442396966480928	0.32159390347628314	0.21025399528144906	0.25642418311472953	0.21172791812753872	0.837763909144748	0.041659344178655786	0.24681060298613694	0.7115300528352084	0.12493723004411755	0.7401900747733118	2.135985315471969	0.01053694052256995	0.010536940522569954	-4800.501644144657	0.0	-1.6289203088441377
27000	-4808.007063795085	-7.173968641142965	-4800.833095153942	0.3547447296754475	2018.5603237634753	2.6019768931901086	2.487057116093214	11.756913617333279	11.232635728885938	0.3147339157647952	0.23362748581824785	0.2539383694170873	0.19770022899987008	0.2943445765344243	0.039585936898249637	0.24686135382309737	0.7135527092786544	0.11871903896419235	0.740342277577203	2.1420572507953333	0.010121309542398073	0.010121309542398071	-4800.833095153942	0.0	-2.9104912570533745
