# BEAST v1.10.2
# Generated Sun Dec 02 20:12:52 SAST 2018 [seed=1543774369072]
# -beagle outbreak_25_expo_cauchy_prior_clock_cp123.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	CP1.nu	CP2.nu	CP3.nu	CP1.mu	CP2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-9454.199770143465	-29.867147661012144	-9424.332622482452	1.6752170905161856	2017.2398514026345	7.586711824913282	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.9996735226901731	0.9996735226901731	1.0006535947712418	1.0	1.0	-9424.332622482452	0.0	-21.889233940253714
1000	-5105.123755209196	-2.2877141364372133	-5102.836041072759	0.6376695336362803	2018.2773989595146	2.778447138122793	0.4708321205403794	3.1052780628349685	4.812275933924198	0.269539961470652	0.23613817139816312	0.25745362930375154	0.23686823782743338	0.11955241038362978	0.31563666505299715	0.3302961702284254	0.3540671647185774	0.9466008505311237	0.9905650080699693	1.0628957434983177	0.023881493791533513	0.023881493791533506	-5102.836041072759	0.0	-1.3922137314204281
2000	-4913.773868715273	-2.6064276741914534	-4911.1674410410815	0.25020802922999463	2018.6648604639208	2.1080079098659126	0.804302230484171	3.7444145869982908	5.93107559555954	0.3035721391946105	0.21514096180890582	0.266167725260386	0.21511917373609776	0.10932695536018783	0.34041824683096156	0.26443059884907916	0.3951511543199592	1.0209213239925605	0.793032804775593	1.1862282691448187	0.01116242363672898	0.011162423636728975	-4911.1674410410815	0.0	-0.8369516414510483
3000	-4877.993284146005	3.069218979490932	-4881.062503125496	0.24790412944911253	2018.6671643637017	1.8078000371158451	0.9661006482085901	9.665361832643335	9.917407234090597	0.3107663279503801	0.22005838430078567	0.24782374853674805	0.22135153921208622	0.09040448120478521	0.3349735524315923	0.226188092975612	0.43883835459279547	1.0045925735019938	0.6783427430865073	1.317375531140333	0.013293812613610097	0.013293812613610099	-4881.062503125496	0.0	7.842509846171466
4000	-4843.984922316419	-0.009208226420847065	-4843.975714089998	0.2633160567925947	2018.6517524363583	1.9675180283686395	0.7952306131029059	3.5517354928597964	5.800963069728681	0.31231978713255426	0.21777235778747117	0.25555083329210454	0.21435702178787006	0.08691921673852011	0.2907782335711864	0.20850623744856192	0.5007155289802515	0.8720499032272016	0.6253144946792327	1.5031283820956178	0.012143598314098402	0.012143598314098404	-4843.975714089998	0.0	1.6497152340313623
5000	-4825.528097619013	-4.320472342012776	-4821.207625277	0.2754205949329808	2018.6396478982178	2.2754851079747525	0.44959042539379146	0.4965698885273424	20.35008950792323	0.3012277017140737	0.21212136516566343	0.2670661978063632	0.2195847353138997	0.0613897718473591	0.26524519428264187	0.22616272224904516	0.5085920834683129	0.7954757932355039	0.6782666557557064	1.5267734897842882	0.008981283264305565	0.008981283264305568	-4821.207625277	0.0	-3.5326596715875294
6000	-4819.687710023723	-4.435978145991607	-4815.251731877732	0.27753958445501153	2018.6375289086957	2.1884915326248153	0.7617518969443274	5.654229896501384	21.86672126724266	0.3157404000597275	0.21466074509608996	0.24913834188008524	0.22046051296409733	0.25399929543074856	0.24745534724144255	0.20736874070366437	0.545175912054893	0.7421236760561186	0.6219031185451718	1.6365967085412574	0.010939962705128198	0.010939962705128202	-4815.251731877732	0.0	0.8273185131163587
7000	-4814.877007470751	-1.4817137579585486	-4813.395293712792	0.2783983865833684	2018.6366701065674	2.1482134178175185	0.4819040712630817	3.4086219001440563	7.519750591665061	0.30394050226002656	0.22235033143632588	0.2490697121383118	0.2246394541653358	0.1866639139939256	0.22663677147785666	0.25060703796259953	0.522756190559544	0.6796883391431902	0.7515756613530654	1.5692935838169841	0.008646288791811774	0.008646288791811778	-4813.395293712792	0.0	-0.012297248775958058
8000	-4810.261278360788	1.084094700861297	-4811.345373061649	0.2692993182587243	2018.6457691748922	2.0417172160246433	0.48446744203226366	1.717330875400412	6.512420597545159	0.29549720526176454	0.22383656103812527	0.26010117065092614	0.22056506304918408	0.2924963290216452	0.15691673336155051	0.28636622661585537	0.5567170400225945	0.47059651082572745	0.8588182036216936	1.6712427221070434	0.01210279313841004	0.012102793138410037	-4811.345373061649	0.0	1.5776702216415344
9000	-4809.0865398629285	-1.638566233321976	-4807.447973629606	0.2859864548582998	2018.6290820382924	2.174459154560723	0.30974364513542046	-0.5907962201024644	11.002666411095422	0.28840084189518506	0.22857434355108305	0.262506371495511	0.2205184430582209	0.40761085661006136	0.1564041015020889	0.2664787957186308	0.5771171027792806	0.46905911733535377	0.799175389314836	1.7324829105001542	0.009573575742870228	0.009573575742870228	-4807.447973629606	0.0	-1.6831151575468402
